,product,title ,rating,body
99,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good quality Headphones under 1000,5.0,Very good quality of products I use to for songs and to watch movies and all1) sound quality 8/102) bluetooth connect 4/53)bass is good4)good battery backup5) good build upThe good thing is that they provided a cable in case if battery gets down u can use it as a normal headphonesOverall all good product you can go for it
100,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Must buy,5.0,I love the dual mode in this headphone.You can always save the battery if u connect it directly using the given aux cable.And then switch between bluetooth and aux if u are moving always.Mostly I use it with my work laptop to attend meetings.
101,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Truly a light weight headphone with an excellent battery life,5.0,"Would I recommend this product ?Definitely  Yes it does not affect the ears much and neither does the ear hurt while taking online classes, it is very good headphone to use the time for a long time I am so happy light weight ,half metre charging cable I was sarch of a light weight  wireless headphone  that I can use long hours then I find ptron studio , It's really amazing product"
102,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)","Do not purchase this headphone it's a fraud , delivering you used product",1.0,"The product I received it's used product, it's not a new one, and also next button not working,  then i replaced it again amazone delevered me use headphone scratches r there on serves and in first look any one can identify that it's not a brand new headphone. So please don't purchase this"
103,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Excellent sound quality and design,5.0,The quality of the product is very good and its working perfectly the built quality is good and sound quality is excellent..The noise cancelling working perfectly fine and bass is very goodIts light weight and perfectly set on head so no Hassel of falling offBest part i love most is its Bluetooth connectivity range and battry life is so longOverall good experience and full value for money product
104,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Highly recommended,5.0,I was eagerly want to buy my own bluetooth headphone and this headphone fulfill my desire. A perfect headphone for gaining and music too and comfort for wearing. Vocals are very clear and very crispy . And the another amazing thing is bluetooth 5.0 in this price range. It has a battery backup of 12 hours . And the mate finishing on its surface is looking so cool . Controls are so easy to use .
105,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Don't buy,1.0,Bluetooth connectivity is very poor. Sound gets distorted even at the distance of 1 meter.Not recommended.
106,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Best quality sound & bass headphones,4.0,"Very brilliant product, no noise cancellation, no issue in call quality, bluetooth pairing is very easily done. Sound quality is also awesome & even bass quality is good, overall product is very good under 1k price. Its sound quality is so clear that it can be recommended for gaming also as it comes with 1.5 Mtr Aux cable. Battery backup is also good."
107,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Looks Good & Very comfortable,5.0,It's a very comfortable and good looking headphones. Also perfect designed with very good matt finish. sound quality is very good also Bass is good enough to provide a decent effect. It's also contain aux cable so you can use it without bluetooth also.Ratings - 4.5/5Sound quality: 9.5/10Durability: 9.5/10Bass: 9/10Bluetooth: 10/10Noise cancellation: 8.5/10
108,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good one,5.0,"It has come with good packing, quality of material and sound quality is very good. I am using it for my office use and I don't see any issues in bluetooth connectivity and battery backup. I would recommend this to my friends. Thanks a lot 😊"
109,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Don't buy this product....,1.0,I have purchased this headphone on 16 sept. 2020 and I have used only 2.5 months and it is broken. Material used is very low quality whenever I tried to ued it the sound of cracking have listen and today is broken....  I have also call to customer care service  center but they are showing 'temprory out of service'....
110,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Must buy,5.0,Like the product. Sound is amazing. Beat Bluetooth headphone with such a cheap price. You can’t ask more than this. Noise cancellation works fine. Most loving feature is that it has both Bluetooth and wire option. Worthy and pocket friendly price.
111,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Very Happy with this Purchase,5.0,Extraordinary sound quality one can feel the bass effect from the headphone and the cushion is accurately fixed for comfortable grip and hearing infact I was very happy with the perfomance for long time.
112,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Money worthy product,5.0,Head set has good quality body. It fits my head perfectly and is more comfortable to wear it. I had used it for 4 hrs nonstop but there is is no pain due to headset. Bluetooth and aux cable both works pretty fine. Battery backup is also pretty good for this price range.
113,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Unbeatable,5.0,"I gave it to my brother as a surprise. He loved it very much. It's features like great sound quality , battery life , and material quality is very good at this price range.Happy to have it. Thank you ptron and Amazon."
114,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)","Soo nice, nice bluetooth connection, sound is awesome",5.0,"If u want to use bluetooth headset, go with this headset. This headset has nice bluetooth connection, sound is awesome and charging time is 1 week.But they gave this headset in a big box.😂😂🤣🤣"
115,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Don’t buy,1.0,The power button gets stuck I’ve ordered it twice like returned 1st time thought it was one of a case as when I received it first couldn’t press power button was stuck. Then 2nd time the next day itself same issue must have used it for an hour or 2 and then next day can’t press the power button again
116,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",OK product. Received with defective volume button,2.0,"Volume increase button not working at all. Realized it only after 10 days after product return date passed. also, there is lot of echo for the other person listening while making a call. Otherwise the sound and noise cancellation is good."
117,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Perfect qualitied headphone with a little bit short band.,4.0,"It's literally a value for money with nice quality. Its mic is working. Its sound is coming. But length of the band is a little bit short, I have to expand it completely to wear, then it fits perfectly, By the way I am a 16 years old boy, so if my father aur some adult has to wear then this cant fit properly. This is the only issue I think is the issue in this. Otherwise its a 10 on 10 product."
118,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Great product 👌😍😍🙋‍♂️🙋‍♂️,5.0,"Amazing Product 👌👌😍 🙌 it's like the hybrid version of zebronics and leaf headphone  ,better sound, blutooth connectivity, Great battery backup, it's really Amazing, you never see such bettery backup even if you buy any headphone of 1500 INR...This is product which is like ""sasti and sari""  cheap and Best....🙋‍♂️🙋‍♂️😍😍"
119,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",This device is not listing in paring mode,1.0,This device is not listing in paring modeTried with samsung s2 iphone 11 etc
120,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Gr88 one but... Not best in this price...,5.0,It's just(sound quality and battery backup) awesome.... But connectivity is not upto the mark.... Even if we put our hand between the two devices then the Bluetooth breaks.... Buy simply wonna normal use of Bluetooth and tight bugdet..
121,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",P Tron Bluetooth Headphone,1.0,"Not happy , money gone requested for replace , continuous voice cracking even in front of Laptop while attending classes, poor performance not up to the mark , please do not buy this product"
122,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",To claim warranty we we have to register. Personal details like email phone number is compulsary,3.0,To claim warranty we have to register the product ay warrenty.ptron.in .Personal details like email phone number is compulsary.Registering for warranty in itself is a process.
123,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Sound clarity and nice comfort,5.0,I really love my new gadget . Simple and neat design fits my style perfectly. The superior sound quality works perfectly for best music experience.My ears feel great with nice cushioned ear muffs. Price is very reasonable.
124,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Wastage of money,1.0,"Dont buy,  After using 1month i am writing review, this product is overall good but i received dead aux cable and for this i was trying to raise an issue but unfortunately my product was not returnable."
125,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Defective Aux Cable,1.0,Worst Quality Aux cable it's defective.. also disturbance when connected via Aux Cable..Up volume button dosent work.. this is the 2nd time I have replaced..Blue tooth sound quality good but aux cable has disturbance noise...Not worth at this price
126,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Worst Headphones i ever had.😒,1.0,Worst Quality if you playing games. For video and music purpose i give it 2 stars because at a point it gonna give you crack sound of bass and treble. Design and quality is good but the real purpose of headphone is not satisfying.
127,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Best in the Segment,5.0,Its been 3 days i am using this product .. found this with very nice bass quality according fo budget . Battery backup is also very good lasts about 3-4 dyas with moderate usage . Noise cancellation is the beast part you cannot here anything around. Probably the best over the ear in this budget . Quality of aux cable not that good otherwise the best in the segment
128,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Superb Bass !,5.0,lOved its bass... Amazing sOund.... Active Noise Cancellationnn... LOves it design... Best Quality with matte finishing.. lIkes it..
129,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good Product,5.0,Very Comfortable headphones with extremely good sound quality and deep bass. Battery backup is good. Clear sound during a call too. Classy headphones looks very attractive with awesome features at such a cheap rate. Loved it.
130,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Super,5.0,Super and connecting is so fast and and company tell it will full charge in 2 hrs but it only took 1hrs 15 min to charge full but if you are thinking to purchase it for games sound delays little in wireless and if you don't want delay you have to play with AUX connect
131,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Nice headphones in best price,5.0,These wireless headphones is really good.It has a very soft cushion so its comfortable to use. It gives you high bass with superb sound quality. Also battery back up is great. This product is worth the price.
132,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Just go for it,5.0,Wondering backup and soo stylish and good quality.In fact the bass quality feels incredible in these headphones. They are the best in price range
133,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Awesome Quality,5.0,pTron Headphones is awesome with sound effectsEasily to connect with my mobile and laptop with 5.0 bluethoot use so no disturbance for laking.About charging headphone require 1.5 to 2 hours and used to 15 to 16 hrs continue i actually use full day without switch off the headphones and this is main reason i like this headphone.
134,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Poor quality product. Damaged parts. No checking while dispatching.,1.0,"Your browser does not support HTML5 video.


   Ordered one and found power button not working and exchanged. New product received but again there is a power button issue."
135,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Review after one month of real usage,3.0,"Speakers quality - base, mid, the highs are good.Fitting on ears and head - OkPlastic material could have been improved (looks not premium)Microphone quality - poor. (the other party on call can barely understand what is being said).Overall - Good for listening only / Not good for communication purposes."
136,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Go for it👍,4.0,"Great product, cheap, good quality, go for it. Only 1 con - the wire that comes with it is of cheap quality so not long lasting at all - otherwise 👌 apparently made in india also...so happy abt that one..."
137,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Average product compare to similarly priced products,3.0,"Ok ok product; aux wire can't comnect and work properly; latency exist (try to play piano app, you can easily observe latency of nearly 0.5 seconds); material quality is not up to mark compare to similar priced products; You should purchase this only because of less money during offers or consider other products"
138,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Plz don't buy,1.0,"Plz don't buy this product, It doesn't support Dolby sounds or equalizer function,Aux function not working"
139,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not a product to get.  Very bad experience.,1.0,"Your browser does not support HTML5 video.


   Very  bad product.  When  I got for first time one speaker get dysfunctional within few days.  Got the replacement.  In the second one the ear piece torn within few days.  Really very bad product.  No one should buy it."
140,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",easy  to use,5.0,"Your browser does not support HTML5 video.


   in first go i would say these are awesome ,noise cancellation is best featureeven the connectivity is fast with any devicebattery backup is good , plays wellthe sound quality is awesome with the even small sound coming to me .power input charging is fastblack colour  awesome !!"
141,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good according to its price value.,4.0,I received the product......at first they sent defective product.... and then I returned it...and i ordered another one....this time they sent it perfectly... Overall product is amazing... Just I don't its mic.....while on call it transmits low volume..... But i guess good value for money. I recommend it if u have low budget.
142,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)","Product is good in quality, sound and other features.",4.0,The product of sound is soo good i didn't expected in this price.
143,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Poor in aux connectivity,2.0,Poor quality.Aux connectivity not stable some times one side sound coming in aux cable.  During aux connection some abnormal continue soundComing. Aux cable quality very poor like road side purchase.Bluetooth connectivity good.Both sides cushion quality poor. Sometime pullout from head phone.
144,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good Sound ! Comfortable fit !!,5.0,It is a great headphone under 1k segment !!It is an awesome product it really has a good sound and bass.I am loving its battery life of 12 hours......Upon this AUX helps a lot and it's length is goodBuilt quality is good. Button are good.Overall a great deal under 1000 segmentHighly recommended 🙏🏻🙏🏻
145,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Value for money 🤑,5.0,"Your browser does not support HTML5 video.


   Sound quality is very good for music, lectures and calling. Connectivity is also very good and fast. All buttons are working well. 🎤 mic is decent. While calling it gives experience of talking on landline.Over all a value for money product.I am happy 😊"
146,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Not upto the mark,3.0,"The product is good within this price range, Im not quiet satisfied with this.No Noise cancellationNo Good baseOkay sound qualityErgonomis is OKLooks delicateIts good product for around 600-800 bucksBut if you are a sound lover then go for a different one"
147,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Worth every penny ❤️👍,5.0,I personally loved this wireless headphone. The sound quality is just amazing. This is such a pocket friendly headphone set.  It gets connected to bluetooth very easily & gets completely charged up in 1 hour. The blue & black combination gives it a very cool look.  So tune in & push ur limits ❤️
148,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Best wireless headphone,5.0,Best bluetooth headphone I am using from last 4 days the quality of is awesome it come with bluetooth 5.0 and we use with aux cable also it's is light weight headphone and cushion and padding is soft the battery backup of these headphone Is around 7 to 8 hour's and it come with high base and inbuilt noise cancellation mic
149,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Great item to your collection,5.0,"This is really ncie, the aux option comes handy if battery is low and you dont want to use bluetooth. The blue colour is really nice and soft. The sound quality is good and quite comfortable to the ears"
150,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Simply awesome,5.0,I would like to thank Ptron for providing one of the best headphones at a reasonably best price . The bass and sound quality is very good and Battery backup is amazing. Bluetooth connectivity is great. Overall superb product.
151,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good headphones,4.0,"Good over the ear headphones in the budget range.1. Built quality is good2. Comfortable over the ear without any strain or pain3.Quality of the sound is good at the volume upto50% over which bass dominates and cannot bear the bass4. AUX cable quality should have been better, and cannot fit to the slot on the laptop properly"
152,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",My Genuine feedback,5.0,"I'm giving my review after using this headphone for a week.- very classy to look at- voice quality is amazing- very comfortable to wear for whole day- battery backup is superb, can listen non-stop music for 12 hrs.- provided with aux and wire length is quite good."
153,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Excellent Sound Quality!,5.0,The Headphones Are Really Great!!Major Point Here Is The Quality Of Sound Is Next Level U Will Feel That U Are Using Something Premium..The Voice Clearness Is Next Level!!!I will just say go for it..it will 100% Statisfy ur all expectations!
154,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Poor headphones,2.0,I bought this headphones it was working fine I can hear to music from my phone and seeing youtube from my laptop and all when I had to attend any call in my laptop it gets switched off automatically .
155,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Value for money,5.0,Very good Bluetooth headset for the price it's been offered. Excellent sound quality and comfortable to wear.  Battery life is also very good.
156,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Audio quality,5.0,I found the headphone very convenient to use as it can be connected  by the Bluetooth or by the connected wire sullied along with the item.
157,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Best choice ever,4.0,It is an amazing product I ever bought..Blutooth connectivity tooo fastSound clear...Noise cancellation...not that much...Ear comfort...best...it cover whole ear... without compressing it..And battery 2 days long at min volume
158,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Amazing sound quality with superb bass,5.0,think one of the best headphones at this price point. Rather They definitely punch above their price point giving one of finest audio quality with immersive bass. The build quality is very impressive. And the first experience which starts from the packaging itself gave a very premium feel.
159,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Worth hai,5.0,This headphone has pretty nice built quality in the category. Ear cups are quite comfortable and sound quality is top notch indeed. Overall you won't regret at this price point after buying this one.
160,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Overall Value for money,5.0,"Using a month and give review . easy to connect. sound quality very good, bass also good.Bluetooth connecting range up to 20 feet. overall Value for money ."
161,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Excellent Sound Quality for this Price Range,5.0,"It's such a relief to finally get some amazing headphones at an affordable price. The sound quality and texture is amazing. 5/5 for that. Also, used it in MS Teams and Zoom - would give 5/5 for noise cancellation. Great buy for this price range."
162,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Worth to buy,5.0,I bought it doubtfully. But it is really amazing product at this cost. The sound to good and it has high bass . The Bluetooth functioning is too good . It can be used although it don't have charge through the cable.The charging lasts too long. The look is mesmerising and it too comfort to wear. Overall it is a must buy product .
163,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Good sound quality,5.0,Ptron bluetooth of headphones has good bass soundThey have provided USB and also can connect through mobile without bluetooth connectionBattery power is goodSound quality is niceThis headset looks attractive too
164,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Damaged product!,1.0,Very bad product!It is totally damaged.Mic had worked for 3-4 days and then it stopped working.One more thing it is a chinese company.Please don't buy it.
165,"pTron Studio Over Ear Bluetooth 5.0 Wireless Headphones with Mic, Hi-Fi Sound with Deep Bass, 12Hrs Playback, Ergonomic & Lightweight Wireless Headset, Soft Cushions Earpads, Aux Port - (Black)",Aux stopped working,3.0,Battery life grat-10 hr. Build quality is just fine. My audio cable stopped working after 3 months also it was ripped near the jack.
